10001,Radius,Radius,0,m,1
10002,Mass,Mass,0,kg,1
10003,Volume,Volume,0,m3,1
10004,Capacity,Capacity,0,m3,1
10005,Drone Control,Drone Control,0,,0
10006,Fighter Control,Fighter Control,0,,0
10007,Drone Control Range,Drone Control Range,0,,0
10008,Fighter Control Range,Fighter Control Range,0,,0
10009,Warp Core Strength,Warp Core Strength,0,,6
10010,Thrust Addition,Thrust Addition,0,,6
10011,energyTurretROF,Rate Of Fire,0,s,9
10012,hybridTurretROF,Rate Of Fire,0,s,9
10013,projectileTurretROF,Rate Of Fire,0,s,9
10014,energyTurretDamage,Damage Modifier,0,x,9
10015,hybridTurretDamage,Damage Modifier,0,x,9
10016,projectileTurretDamage,Damage Modifier,0,x,9
10017,weaponBaseDamage,Weapon Base Damage,0,HP,9
10018,weaponVolleyDamage,Weapon Volley Damage,0,HP,9
10019,weaponDPS,Weapon DPS,0,HP,9
10020,allTurretVolleyDamage,Turret Volley Damage,0,HP,9
10021,allMissileVolleyDamage,Missile Volley Damage,0,HP,9
10022,allSBDamage,Smartbomb Volley Damage,0,HP,9
10023,allDroneVolleyDamage,Drone Volley Damage,0,HP,9
10024,allTurretDPS,Turret DPS,0,HP,9
10025,allMissileDPS,Missile DPS,0,HP,9
10026,allSBDPS,Smartbomb DPS,0,HP,9
10027,allDroneDPS,Drone DPS,0,HP,9
10028,totalVolleyDamage,Total Volley Damage,0,HP,9
10029,totalDPS,Total DPS,0,HP,9
10030,loadedCharge,Loaded Charge,0,typeID,9
10031,maxDroneControlUnits,Drone Control Units,0,,0
