#HQF Ship Bonus Mapping Table,,,,,,,,,,,
#Ship ID,Affecting Type,Affecting ID,Affected Attribute,Affected Type,Affected ID,Stack Nerf,Per Level,Calc Type,Value,Status,Description

# Raven,,,,,,,,,,,
638,1,3338,51,2,506;508,0,1,0,-5,15,Cruise & Siege ROF
638,1,3338,37,2,656;657;386;89,0,1,0,10,15,Cruise & Torpedo Velocity
# Abaddon,,,,,,,,,,,
24692,1,3339,64,4,569;573,0,1,0,5,15,Large Energy Turret Damage
24692,1,3339,267,1,24692,0,1,2,5,15,Armor EM Resistance
24692,1,3339,268,1,24692,0,1,2,5,15,Armor Explosive Resistance
24692,1,3339,269,1,24692,0,1,2,5,15,Armor Kinetic Resistance
24692,1,3339,270,1,24692,0,1,2,5,15,Armor Thermal Resistance
# Absolution,,,,,,,,,,,
22448,1,12099,6,4,568;572,0,1,0,-10,15,Medium Energy Turret Cap Use
22448,1,12099,267,1,22448,0,1,2,5,15,Armor EM Resistance
22448,1,12099,268,1,22448,0,1,2,5,15,Armor Explosive Resistance
22448,1,12099,269,1,22448,0,1,2,5,15,Armor Kinetic Resistance
22448,1,12099,270,1,22448,0,1,2,5,15,Armor Thermal Resistance
22448,1,23950,64,4,568,0,1,0,5,15,Medium Energy Turret Damage
22448,1,23950,51,4,568,0,1,0,-5,15,Medium Energy Turret ROF
22448,0,0,50,2,316,0,0,0,-99,15,Warfare Link Module CPU Use
# Aeon,,,,,,,,,,,
23919,1,24311,91,4,910,0,1,0,50,15,Capital Energy Transfer Range
23919,1,24311,54,4,1056,0,1,0,50,15,Capital Armor Transfer Range
23919,1,24311,267,1,23919,0,1,2,5,15,Armor EM Resistance
23919,1,24311,268,1,23919,0,1,2,5,15,Armor Explosive Resistance
23919,1,24311,269,1,23919,0,1,2,5,15,Armor Kinetic Resistance
23919,1,24311,270,1,23919,0,1,2,5,15,Armor Thermal Resistance
23919,0,0,50,2,815,0,0,0,-99,15,Clone VAT Bay CPU Use
23919,0,0,50,2,316,0,0,0,-99,15,Warfare Link Module CPU Use
23919,0,0,50,2,842,0,0,0,-99,15,Remote ECM CPU Use
23919,0,0,50,1,27951,0,0,0,-99,15,Triage Module CPU Use
23919,1,24311,0,1,23919,0,1,1,3,15,Fighter Control Bonus
23919,1,24311,0,1,23919,0,1,1,1,15,Warfare Link Bonus
23919,0,0,0,1,23919,0,0,0,200,15,Fighter Control Range 
23919,0,0,0,1,23919,0,0,0,1,15,EW Immunity
# Amarr Navy Slicer,,,,,,,,,,,
17703,1,3331,6,4,567;570,0,1,0,-10,15,Small Energy Turret Cap Use
